quality,alcohol,sulphates,citric acid,volatile acidity
5,9.4,0.52,0.38,0.52
6,12.4,0.78,0.42,0.34
6,12.0,0.63,0.27,0.49
6,12.0,0.63,0.27,0.49
6,12.4,0.66,0.34,0.48
5,12.8,0.6,0.28,0.57
7,11.7,0.85,0.41,0.3
5,9.5,0.49,0.1,0.78
6,10.8,0.76,0.43,0.47
6,10.0,0.64,0.0,0.53
7,12.3,0.64,0.27,0.42
6,11.0,0.71,0.41,0.33
6,13.6,0.66,0.5,0.4
6,11.3,0.6,0.07,0.69
6,11.3,0.6,0.07,0.69
6,11.3,0.6,0.07,0.69
6,13.3,0.53,0.12,0.39
5,12.9,0.58,0.0,0.66
8,13.1,0.72,0.34,0.54
6,12.3,0.48,0.0,0.47
7,11.3,0.59,0.35,0.24
6,11.5,0.6,0.0,0.76
5,10.0,0.68,0.33,0.43
6,10.4,0.63,0.0,0.6
7,13.6,0.88,0.34,0.36
7,11.2,0.68,0.07,0.48
7,11.8,0.74,0.35,0.28
6,11.9,0.6,0.43,0.25
6,11.4,0.76,0.45,0.52
5,9.1,0.58,0.15,0.41
6,9.5,0.64,0.24,0.51
6,9.5,0.65,0.3,0.4
6,11.0,0.85,0.32,0.38
6,11.4,0.65,0.11,0.45
6,10.0,0.82,0.3,0.22
5,10.1,0.62,0.23,0.32
6,10.4,0.81,0.43,0.2
6,9.8,0.87,0.12,0.5
7,11.8,0.49,0.45,0.41
6,11.6,0.66,0.42,0.39
6,12.0,0.52,0.47,0.35
6,12.5,0.65,0.23,0.58
5,9.8,0.53,0.25,0.6
6,11.1,0.66,0.35,0.42
5,9.8,0.53,0.25,0.6
7,11.8,0.76,0.51,0.18
7,12.9,0.87,0.18,0.51
7,11.8,0.71,0.42,0.32
5,10.0,0.67,0.24,0.785
7,12.4,0.88,0.39,0.33
6,12.0,0.56,0.27,0.34
6,11.5,0.62,0.29,0.5
6,10.5,0.67,0.34,0.36
6,12.3,0.74,0.46,0.42
6,9.5,0.62,0.31,0.36
6,9.5,0.62,0.31,0.36
6,11.5,0.7,0.0,0.61
4,11.2,0.5,0.03,0.88
5,11.4,0.73,0.0,0.915
6,11.0,0.81,0.33,0.35
5,11.4,0.46,0.43,0.39
5,9.3,0.6,0.07,0.66
5,10.9,0.7,0.23,0.64
5,10.9,0.7,0.23,0.64
4,9.6,0.44,0.05,0.955
6,12.5,0.57,0.57,0.4
5,10.8,0.51,0.0,0.885
7,12.4,0.8,0.37,0.25
6,9.5,0.59,0.12,0.745
6,9.5,0.6,0.22,0.43
6,9.8,0.54,0.21,0.57
6,10.9,0.79,0.26,0.26
6,9.5,0.58,0.23,0.58
6,9.8,0.54,0.21,0.57
7,11.2,0.54,0.36,0.34
8,11.7,0.69,0.39,0.42
5,9.4,0.55,0.19,0.74
7,11.0,0.85,0.46,0.36
7,11.0,0.85,0.46,0.36
5,10.0,0.94,0.55,0.72
7,11.0,0.85,0.46,0.36
7,11.2,0.87,0.43,0.39
6,10.4,0.62,0.02,0.65
6,10.4,0.62,0.02,0.65
6,10.4,0.48,0.46,0.33
6,9.5,0.69,0.31,0.57
6,10.9,0.83,0.4,0.39
6,11.5,0.77,0.52,0.32
6,11.5,0.77,0.52,0.32
6,10.3,0.82,0.49,0.39
5,9.4,0.51,0.23,0.46
5,9.2,0.47,0.03,0.58
5,9.6,0.72,0.25,0.58
7,13.6,0.73,0.0,0.42
5,9.5,0.64,0.29,0.43
6,11.8,0.78,0.34,0.18
5,10.8,0.62,0.01,0.815
5,9.5,0.64,0.29,0.43
6,12.8,0.4,0.01,0.75
6,9.4,0.64,0.0,0.55
6,12.8,0.4,0.01,0.75
4,9.6,0.46,0.0,0.73
4,11.8,0.56,0.0,0.67
5,9.3,0.4,0.2,0.61
5,9.5,0.62,0.22,0.56
5,10.5,0.68,0.19,0.55
5,10.0,0.48,0.07,0.74
6,10.9,0.61,0.01,0.6
5,9.8,0.59,0.14,0.58
5,9.8,0.58,0.0,0.72
5,9.5,0.58,0.0,0.66
5,10.9,0.69,0.06,0.7
5,9.2,0.42,0.22,0.59
6,11.0,0.7,0.28,0.58
6,11.3,0.63,0.0,0.64
5,9.3,1.15,0.68,0.635
4,11.2,0.55,0.0,1.02
5,9.8,0.58,0.38,0.45
6,11.8,0.72,0.32,0.37
6,10.3,0.6,0.05,0.57
6,10.3,0.6,0.05,0.57
6,11.4,0.87,0.5,0.43
6,9.5,0.55,0.31,0.41
6,14.0,0.75,0.01,0.38
6,11.7,0.57,0.2,0.44
5,11.2,0.53,0.0,0.46
5,9.3,0.43,0.2,0.58
6,11.2,0.53,0.13,0.58
6,9.5,0.54,0.22,0.715
4,12.0,0.56,0.4,0.4
6,9.7,0.6,0.0,0.69
6,9.5,0.54,0.22,0.715
7,11.5,0.57,0.39,0.3
6,10.4,0.64,0.2,0.46
6,10.4,0.64,0.2,0.46
6,10.9,0.68,0.0,0.765
6,10.2,0.63,0.28,0.63
5,10.9,0.56,0.19,0.42
5,10.5,0.57,0.5,0.37
5,10.2,1.17,0.3,0.6
5,10.2,1.17,0.3,0.6
5,11.0,0.59,0.0,0.74
6,10.9,0.75,0.1,0.635
6,12.4,0.67,0.13,0.395
5,9.5,0.45,0.0,0.63
6,12.1,0.61,0.14,0.53
6,12.2,0.56,0.0,0.6
3,10.9,0.4,0.0,1.58
6,12.5,0.61,0.0,0.645
6,11.7,0.74,0.07,0.86
6,11.2,0.8,0.32,0.37
5,9.2,0.44,0.21,0.79
5,9.8,0.53,0.26,0.61
5,10.1,0.62,0.32,0.69
5,9.2,0.61,0.1,0.62
6,12.8,0.59,0.15,0.51
5,10.5,0.47,0.21,1.18
6,9.8,0.58,0.27,0.63
6,12.5,0.59,0.0,0.74
6,9.1,1.33,0.68,0.76
6,12.5,0.59,0.0,0.74
5,11.4,0.55,0.42,0.34
6,10.6,0.6,0.24,0.46
6,10.6,0.6,0.24,0.46
6,10.6,0.6,0.24,0.46
6,10.6,0.6,0.24,0.46
5,9.3,0.52,0.11,0.52
6,9.8,0.56,0.26,0.6
6,9.8,0.56,0.26,0.6
5,9.2,0.46,0.26,0.87
6,9.7,0.43,0.1,0.39
5,9.6,0.51,0.22,0.775
5,10.0,0.52,0.0,0.835
6,12.6,0.66,0.02,0.58
5,9.5,0.45,0.0,0.5
5,9.5,0.45,0.0,0.5
5,9.5,0.45,0.0,0.5
6,10.5,0.54,0.02,0.51
6,10.5,0.54,0.02,0.51
6,10.5,0.54,0.02,0.51
6,10.5,0.54,0.02,0.51
5,11.0,0.53,0.48,0.42
6,10.2,0.53,0.24,0.44
5,11.4,0.56,0.01,0.59
5,9.5,0.39,0.03,0.655
6,11.8,0.51,0.01,0.62
5,10.3,0.46,0.03,0.645
5,10.1,0.44,0.25,0.32
5,10.1,0.44,0.25,0.34
6,11.1,0.59,0.24,0.43
5,9.5,0.5,0.17,0.64
6,10.0333333333333,0.65,0.4,0.475
5,10.1,0.54,0.14,0.85
6,10.0333333333333,0.65,0.4,0.475
6,11.8,0.53,0.02,0.605
5,9.8,0.5,0.08,0.74
6,10.5,1.18,0.3,0.54
6,9.8,0.5,0.32,0.77
5,9.2,1.17,0.51,0.78
6,11.6,1.03,0.56,0.58
5,9.2,1.17,0.51,0.78
5,10.0,0.46,0.2,0.885
6,9.9,0.51,0.15,0.45
6,10.8,0.62,0.02,0.57
6,10.8,0.62,0.02,0.57
5,9.9,0.49,0.22,0.6
5,9.9,0.49,0.22,0.6
5,9.5,0.5,0.15,0.755
5,9.2,0.42,0.25,0.81
5,9.6,0.58,0.07,0.64
5,10.3,0.68,0.31,0.64
6,12.5,0.59,0.0,0.49
5,11.0,0.58,0.22,0.64
5,9.8,0.48,0.06,0.62
5,10.2,0.48,0.25,0.52
6,9.55,0.65,0.1,0.685
5,9.55,0.65,0.1,0.675
5,9.9,0.52,0.26,0.59
6,11.1,0.72,0.0,0.67
5,9.9,0.51,0.21,0.69
6,11.9,0.82,0.42,0.3
8,10.0,1.1,0.33,0.33
6,10.7,0.62,0.39,0.5
6,10.9,0.94,0.34,0.24
6,10.7,0.93,0.0,0.51
7,12.4,1.01,0.36,0.29
6,10.7,0.93,0.0,0.51
6,11.9,0.44,0.0,0.96
6,10.6,0.73,0.4,0.47
6,10.9,0.94,0.34,0.24
5,10.1,0.9,0.25,0.57
5,9.6,0.78,0.59,0.32
5,9.4,0.84,0.0,0.58
5,9.6,0.78,0.59,0.32
7,12.1,0.77,0.33,0.34
5,9.8,0.46,0.01,0.53
5,9.9,0.45,0.21,0.64
5,9.8,0.46,0.01,0.53
5,9.4,0.58,0.18,0.4
6,11.4,0.84,0.0,0.54
4,11.0,0.67,0.09,0.53
5,11.2,0.58,0.33,0.41
5,11.0,0.63,0.0,0.64
5,11.3,0.93,0.4,0.18
5,10.4,0.62,0.24,0.41
6,9.9,0.54,0.31,0.43
7,10.1,0.74,0.16,0.4
6,9.0,0.77,0.37,0.54
5,8.5,0.65,0.38,0.38
5,11.1,0.54,0.29,0.915
5,10.3,0.47,0.0,0.59
6,11.066666666666698,0.68,0.02,0.67
5,11.7,0.49,0.2,0.58
6,9.6,0.52,0.19,0.785
5,9.7,0.74,0.0,0.67
8,11.3,0.76,0.31,0.38
7,11.3,0.73,0.32,0.37
7,11.0,0.78,0.44,0.32
7,11.6,0.76,0.02,0.58
6,10.9,0.69,0.63,0.45
6,10.9,0.63,0.0,0.9
5,9.0,0.58,0.33,0.49
5,10.5,0.6,0.4,0.29
7,11.9,0.8,0.35,0.2
6,10.4,0.68,0.09,0.42
4,10.0,0.61,0.0,0.785
6,10.8,0.53,0.01,0.63
5,9.7,0.67,0.1,0.59
7,10.0,0.65,0.32,0.48
4,11.0,0.57,0.08,1.04
7,10.0,0.65,0.32,0.48
3,9.7,0.55,0.05,0.98
5,9.7,0.47,0.11,0.69
5,12.6,0.52,0.08,0.7
6,11.1,0.79,0.6,0.35
5,11.0,0.54,0.08,0.6
5,8.8,0.75,0.5,0.5
7,13.566666666666698,0.88,0.11,0.47
5,8.8,0.75,0.5,0.5
7,13.6,0.88,0.11,0.47
3,10.2,0.52,0.05,0.875
5,10.6,0.68,0.6,0.28
4,10.1,0.62,0.03,0.62
5,10.6,0.68,0.6,0.28
5,10.7,0.61,0.44,0.33
5,9.7,0.55,0.16,0.655
5,10.3,0.6,0.21,0.68
5,10.6,0.78,0.05,0.64
5,11.4,0.58,0.04,0.54
6,12.4,0.56,0.49,0.22
5,11.95,0.54,0.06,0.65
5,9.7,0.59,0.26,0.54
7,10.0,0.7,0.09,0.31
6,10.6,0.81,0.02,0.43
6,11.5,0.63,0.03,0.74
6,11.5,0.63,0.03,0.74
5,9.4,0.53,0.29,0.82
6,11.0,0.69,0.39,0.44
6,11.4,0.55,0.57,0.38
3,9.95,0.63,0.02,0.76
6,10.8,0.66,0.05,0.81
6,11.4,0.55,0.57,0.38
6,10.6,0.72,0.6,0.27
5,11.1,0.7,0.4,0.18
6,9.7,0.77,0.21,0.36
5,9.8,0.67,0.04,0.69
6,9.23333333333333,0.72,0.21,0.84
6,9.25,0.72,0.21,0.84
6,10.3,0.83,0.06,0.53
5,10.5,0.63,0.46,0.47
5,10.2,0.58,0.08,0.7
5,10.6,0.97,0.25,0.32
5,10.4,0.6,0.25,0.48
5,9.7,0.64,0.08,0.48
6,9.6,0.65,0.08,0.47
6,10.1,0.67,0.49,0.29
6,10.2,0.6,0.08,0.69
6,11.3,0.69,0.09,0.44
5,10.2,0.66,0.1,0.705
6,9.9,0.68,0.13,0.53
5,9.0,0.61,0.3,0.39
7,11.7,0.62,0.14,0.56
6,9.7,0.59,0.13,0.55
5,12.0,0.63,0.09,0.64
6,11.6,0.63,0.08,0.52
7,11.2,0.81,0.43,0.37
6,10.1,0.64,0.33,0.63
5,10.2,0.61,0.02,0.57
5,10.4,0.58,0.5,0.4
8,11.4,0.7,0.3,0.36
5,9.4,0.54,0.0,0.67
6,11.3,0.66,0.01,0.68
5,9.4,0.6,0.0,0.735
7,10.55,0.68,0.17,0.56
5,9.9,0.56,0.04,0.88
6,11.0,0.6,0.02,0.855
5,9.5,0.56,0.33,0.63
5,9.9,0.52,0.26,0.6
5,9.9,0.52,0.26,0.6
5,9.9,0.52,0.26,0.6
5,10.1,0.54,0.13,0.695
5,10.1,0.54,0.13,0.695
6,10.9,0.82,0.02,0.67
6,11.2,0.71,0.64,0.16
5,10.1,0.54,0.13,0.695
5,9.2,0.59,0.13,0.56
6,11.5,0.57,0.14,0.51
6,12.4,0.93,0.53,0.36
6,11.1,0.65,0.14,0.38
5,9.5,0.51,0.32,0.69
6,12.5,0.67,0.2,0.58
6,11.8,0.64,0.4,0.52
6,10.8,0.78,0.63,0.3
6,11.9,0.6,0.15,0.7
6,11.3,0.67,0.15,0.67
6,11.9,0.6,0.33,0.35
5,11.9,0.5,0.1,0.715
5,9.8,0.62,0.29,0.46
7,11.6,0.8,0.44,0.32
6,11.4,0.85,0.41,0.31
6,10.9,0.66,0.11,0.61
6,11.6,0.82,0.15,0.55
6,11.6,0.56,0.09,0.74
6,11.0,0.75,0.13,0.51
6,9.5,0.82,0.08,0.62
5,10.5,0.58,0.08,0.6
6,11.2,0.76,0.1,0.55
5,10.2,0.71,0.12,0.645
